Learning Rate,Batch Size,Epoch,Train Accuracy,Train Loss,Test Accurracy,Test Loss
0.1,1,15,0.5768240094184875,1.693705439567566,0.4462616741657257,2.991358518600464
0.1,1,30,0.5792560577392578,1.8530101776123047,0.44025367498397827,3.311706066131592
0.1,1,45,0.5688126087188721,1.6829733848571777,0.4602803885936737,2.7514472007751465
0.1,1,60,0.5075822472572327,1.5548391342163086,0.41955941915512085,2.127506971359253
0.1,1,75,0.3909871280193329,1.6259629726409912,0.35180240869522095,1.9331318140029907
0.1,1,90,0.4447782635688782,1.6086041927337646,0.37650200724601746,2.081627130508423
0.1,1,105,0.47052931785583496,1.5900629758834839,0.3998664915561676,1.9542205333709717
0.1,1,120,0.4565092921257019,1.5774420499801636,0.37983977794647217,2.0925395488739014
0.1,1,135,0.4391988515853882,1.6359463930130005,0.3571428656578064,2.08107852935791
0.1,2,15,0.4228898286819458,1.6283133029937744,0.38351133465766907,2.027027130126953
0.1,2,30,0.5512160062789917,1.9021425247192383,0.4465954601764679,3.024350166320801
0.1,2,45,0.5500715374946594,1.4073978662490845,0.4215620756149292,2.2242064476013184
0.1,2,60,0.5615164637565613,2.1845831871032715,0.44459280371665955,3.8570101261138916
0.1,2,75,0.5653791427612305,1.760677695274353,0.44492655992507935,2.823117733001709
0.1,2,90,0.545064389705658,1.9038012027740479,0.43724966049194336,3.086686134338379
0.1,2,105,0.4452074468135834,1.715453028678894,0.371161550283432,2.0274877548217773
0.1,2,120,0.394992858171463,1.7330387830734253,0.3504672944545746,2.001319408416748
0.1,2,135,0.5615164637565613,1.9595160484313965,0.43024033308029175,3.1444008350372314
0.1,4,15,0.5711015462875366,1.8913596868515015,0.4676235020160675,3.044302463531494
0.1,4,30,0.40844061970710754,1.6647708415985107,0.37316420674324036,2.026876926422119
0.1,4,45,0.5580829977989197,1.958126187324524,0.44125500321388245,3.059619903564453
0.1,4,60,0.46881258487701416,1.541129231452942,0.40554073452949524,1.9242138862609863
0.1,4,75,0.5537911057472229,1.6312694549560547,0.4255674183368683,2.512092351913452
0.1,4,90,0.5589413642883301,1.7424877882003784,0.42723631858825684,2.8125393390655518
0.1,4,105,0.5273247361183167,1.6333791017532349,0.4222296476364136,2.382359504699707
0.1,4,120,0.49542203545570374,1.5134345293045044,0.40587449073791504,2.1016314029693604
0.1,4,135,0.4017167389392853,1.6725444793701172,0.35881173610687256,1.9775917530059814
0.1,8,15,0.5895565152168274,1.5731397867202759,0.4542723596096039,2.745762586593628
0.1,8,30,0.5454935431480408,1.8222147226333618,0.4032042622566223,3.0609233379364014
0.1,8,45,0.5489270091056824,2.2121245861053467,0.44058746099472046,3.431028127670288
0.1,8,60,0.41931331157684326,1.6930092573165894,0.37249666452407837,2.0042643547058105
0.1,8,75,0.5452074408531189,1.9655797481536865,0.4319092035293579,3.14801025390625
0.1,8,90,0.37739628553390503,1.7259585857391357,0.3367823660373688,1.9633780717849731
0.1,8,105,0.4363376200199127,1.6536980867385864,0.35547396540641785,2.0453240871429443
0.1,8,120,0.5786838531494141,1.9661197662353516,0.4462616741657257,3.3886046409606934
0.1,8,135,0.3523605167865753,1.7821862697601318,0.35447263717651367,2.013385772705078
0.1,16,15,0.4430615305900574,1.5689436197280884,0.3821762204170227,1.922131061553955
0.1,16,30,0.41287553310394287,1.6828311681747437,0.35881173610687256,2.0940072536468506
0.1,16,45,0.41845494508743286,1.6950035095214844,0.37349799275398254,1.9137424230575562
0.1,16,60,0.4065808355808258,1.7166556119918823,0.3454606235027313,1.970036506652832
0.1,16,75,0.5729613900184631,1.7949415445327759,0.44859811663627625,3.0970089435577393
0.1,16,90,0.578826904296875,1.6440891027450562,0.4579439163208008,2.6556804180145264
0.1,16,105,0.4595136046409607,1.9295239448547363,0.3818424642086029,2.4615845680236816
0.1,16,120,0.577539324760437,1.4304527044296265,0.45827770233154297,2.280763626098633
0.1,16,135,0.5909871459007263,1.574459195137024,0.4642857015132904,2.6314618587493896
0.1,32,15,0.468240350484848,1.559058666229248,0.40487316250801086,1.922237753868103
0.1,32,30,0.5432046055793762,1.7950000762939453,0.4432576894760132,2.9860715866088867
0.1,32,45,0.5384835600852966,1.669060468673706,0.4172229766845703,2.651682138442993
0.1,32,60,0.428898423910141,1.6516393423080444,0.3755006790161133,2.062192678451538
0.1,32,75,0.48898425698280334,1.5315459966659546,0.39786380529403687,2.1459641456604004
0.1,32,90,0.554792582988739,1.5846686363220215,0.4355807602405548,2.419416904449463
0.1,32,105,0.5806866884231567,1.6355538368225098,0.4562750458717346,2.815425395965576
0.1,32,120,0.39814019203186035,1.610405445098877,0.3427903950214386,2.0460071563720703
0.1,32,135,0.46752503514289856,1.5908973217010498,0.3818424642086029,2.117194414138794
0.1,64,15,0.5370529294013977,1.734330654144287,0.44092121720314026,2.544182300567627
0.1,64,30,0.5582260489463806,1.8183577060699463,0.3855140209197998,3.5271706581115723
0.1,64,45,0.34692418575286865,1.8678051233291626,0.2860480546951294,2.1282503604888916
0.1,64,60,0.4974249005317688,1.6530848741531372,0.3928571343421936,2.4032251834869385
0.1,64,75,0.4715307652950287,1.5228468179702759,0.39118826389312744,1.9112677574157715
0.1,64,90,0.4473533630371094,1.589843988418579,0.386515349149704,1.9943599700927734
0.1,64,105,0.4496423602104187,1.6475391387939453,0.40854471921920776,2.046020984649658
0.1,64,120,0.5758225917816162,1.7093337774276733,0.4492656886577606,2.773124933242798
0.1,64,135,0.5884120464324951,2.140958309173584,0.45260345935821533,3.76774001121521
0.1,128,15,0.48125892877578735,1.5594757795333862,0.4105474054813385,2.052354097366333
0.1,128,30,0.46838340163230896,1.553967833518982,0.3971962630748749,2.0023226737976074
0.1,128,45,0.5703862905502319,1.8428148031234741,0.45827770233154297,2.825549364089966
0.1,128,60,0.4061516523361206,1.6871637105941772,0.37349799275398254,1.9232529401779175
0.1,128,75,0.411301851272583,1.625302791595459,0.35146862268447876,1.9908567667007446
0.1,128,90,0.3203147351741791,1.877822756767273,0.28104138374328613,2.0722858905792236
0.1,128,105,0.5609441995620728,2.204038381576538,0.4362483322620392,3.646519899368286
0.1,128,120,0.42446351051330566,1.6473197937011719,0.37616822123527527,1.8997900485992432
0.1,128,135,0.33433476090431213,1.884674072265625,0.29839786887168884,2.120065450668335
